ID,Country,TweakCategory,Crops_baseline_2050,Crops_target_2050,Crops_relchange_pct,TreeCrops_baseline_2050,TreeCrops_target_2050,TreeCrops_relchange_pct,Forest_baseline_2050,Forest_target_2050,Forest_relchange_pct,Grassland_baseline_2050,Grassland_target_2050,Grassland_relchange_pct,Urban_baseline_2050,Urban_target_2050,Urban_relchange_pct,Water_baseline_2050,Water_target_2050,Water_relchange_pct,Other_baseline_2050,Other_target_2050,Other_relchange_pct
AZE,AZE,Highly agricultural economies,25333.0225,26853.00385,6.000000000000007,6024.4901,6144.979902,2.000000000000001,13058.2069,12666.460692999999,-3.0000000000000013,26377.6256,29542.940672,12.000000000000005,2834.1478,2834.1478,0.0,1025.0,1025.0,0.0,11076.5071,6662.467083000016,-39.850468899171155
BDI,BDI,Highly agricultural economies,2969.1996,2998.112585840837,0.9737636311427794,10724.3167,10420.114263799467,-2.8365670719192044,3154.6212,2914.886378610889,-7.5994804507467,7875.1485,8401.937633802325,6.689259685735763,187.8567,178.9490379464764,-4.7417324234502045,2373.0,2373.0,0.0,2.8572,0.0,-100.0
BEL,BEL,Highly agricultural economies,7841.2038,7977.711914883743,1.7409076254814673,1.9008,1.8609141467811838,-2.098371907555567,6919.2607,6442.006677394948,-6.89747132385186,8747.878,9403.953709613392,7.499826925037032,6969.5023,6689.466883961139,-4.01801167407408,93.0,93.0,0.0,35.2545,0.0,-100.0
BEN,BEN,Highly agricultural economies,47946.1068,47525.835753438325,-0.8765488474690432,1022.1616,974.9678220391013,-4.617056438130597,17928.6819,16262.624903845268,-9.292690926457519,48241.2933,50525.13865615439,4.734212538523286,1145.762,1071.4328645228884,-6.48731023346136,319.0,319.0,0.0,75.9944,0.0,-100.0
BFA,BFA,Highly agricultural economies,75064.337,77552.01266480907,3.3140579990855934,0.0,0.0,0.0,21124.4077,19971.46069664817,-5.457890321591502,159099.7234,173676.47751985287,9.16202354620365,2368.0533,2308.0490186898683,-2.533907548032461,795.0,795.0,0.0,15851.4785,0.0,-100.0
BGD,BGD,Highly agricultural economies,75902.406,77750.67230628523,2.4350562830448648,29868.4065,29441.163574817077,-1.4304175389568357,10876.9108,10195.770385699518,-6.2622598164589345,8175.0948,8848.172183699007,8.233267016047416,1893.9169,1830.2215494991494,-3.363154449957678,5982.0,5982.0,0.0,1349.265,0.0,-100.0
BGR,BGR,Highly agricultural economies,40559.4663,41617.23597117018,2.6079477065756635,1493.0286,1474.1559672027013,-1.2640503200875601,41340.9666,38817.494215671024,-6.104047853416605,23398.3185,25367.508056586594,8.415944746570538,4481.0,4337.605789369487,-3.200049333419171,934.0,934.0,0.0,341.22,0.0,-100.0
BHR,BHR,Small Island States,5.0,5.25,5.0,0.0,0.0,0.0,5.0,4.85,-3.000000000000007,33.0,34.65,4.999999999999996,291.2548,291.2548,0.0,6.0,6.0,0.0,184.7452,182.99519999999998,-0.9472505916256705
BHS,BHS,High-forest countries,4.0,4.24,6.000000000000005,39.9578,40.756956,2.000000000000009,5773.8841,5716.145259,-1.0000000000000056,2059.1504,2306.2484480000003,12.000000000000014,68.9955,68.9955,0.0,2137.0,2137.0,0.0,645.0121,454.6137370000008,-29.51857228724844
BIH,BIH,Highly agricultural economies,8482.0407,8659.873933802564,2.0965854809275415,4341.162,4264.926165697598,-1.756115857975411,20109.0783,18787.51117594959,-6.571992531604059,17915.3394,19326.2865861185,7.875637489281936,650.3511,626.4021384317475,-3.6824665274268713,140.0,140.0,0.0,167.0285,0.0,-100.0
BLR,BLR,Highly agricultural economies,61032.834,63039.289800206134,3.287502265102307,2.0426,2.030137294049358,-0.6101393298072132,92977.5139,87880.30870022015,-5.482191323444124,46724.7897,50992.61547747359,9.13396465746659,3890.3074,3790.755984806078,-2.5589601272619835,1425.0,1425.0,0.0,1077.5125,0.0,-100.0
BLZ,BLZ,Highly agricultural economies,1546.6233,1618.876778344021,4.671692088436855,622.5866,627.0805353911182,0.7218169152882942,9915.4846,9497.494664434644,-4.215527051147415,9072.4625,10033.826428659971,10.596504848159713,306.5632,302.7215931702442,-1.2531206712859828,358.0,358.0,0.0,616.2798,0.0,-100.0
BMU,BMU,Small Island States,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.89,-0.9999999999999948,0.0,0.0,0.0,1.0,1.0,0.0,27.0,27.0,0.0,4.0,4.1099999999999985,2.7499999999999636
BOL,BOL,No specific tweak,69232.7612,73386.726872,6.000000000000009,16.2157,16.540014,2.000000000000007,468400.1536,454348.14899200003,-2.9999999999999973,441531.2116,494514.95699200005,12.000000000000016,1644.8433,1644.8433,0.0,10667.0,10667.0,0.0,101224.8146,58138.783829999884,-42.564692205423036
BRA,BRA,High-forest countries,787431.3723,805043.9902424661,2.236717834980532,31427.0159,30917.498642481332,-1.6212715172828935,4845217.99,4626467.85516675,-4.514763531480452,2702646.873,2919499.200509365,8.023701863375662,30843.4805,29748.45483893608,-3.550266193414594,100839.0,100839.0,0.0,14110.2677,0.0,-100.0
BRB,BRB,Small Island States,37.737,39.28105648187752,4.091624882416511,0.0,0.0,0.0,63.0,60.58132568156641,-3.8391655848152193,91.721,95.47387925840125,4.091624882416514,162.0657,160.66363857815475,-0.8651191596033255,5.0,5.0,0.0,1.4762,0.0,-100.0
BRN,BRN,High-forest countries,54.8226,58.111956000000006,6.000000000000009,84.1026,85.784652,1.9999999999999987,3515.0755,3479.924745,-1.0000000000000033,757.0401,847.8849120000001,12.000000000000005,415.6667,415.6667,0.0,20.0,20.0,0.0,729.2926,668.6271349999994,-8.318398541271447
BTN,BTN,High-forest countries,710.1534,752.7626040000001,6.000000000000012,122.204,124.64808,1.9999999999999998,23949.9589,23710.459311000002,-0.9999999999999962,10814.398,12112.12576,12.000000000000014,79.9827,79.9827,0.0,47.0,47.0,0.0,4249.303,3146.0215449999996,-25.963821713819897
BWA,BWA,Highly agricultural economies,2311.7587,2229.8577442194364,-3.542798639865114,1.851,1.7180483519996401,-7.182693030813607,36070.6177,31838.610468237217,-11.732561019499217,536855.2507,547146.9964167685,1.9170429465576149,604.2125,549.8174224227405,-9.002640226287852,134.0,134.0,0.0,5923.3095,0.0,-100.0
CAF,CAF,Highly agricultural economies,2499.8014,2481.9100073718014,-0.7157125613338102,38.5908,36.868766804545665,-4.462289445811791,215272.3609,195584.60441962272,-9.145510551409242,403580.3673,423372.56504348636,4.904152765383139,391.8796,367.0517627146182,-6.33557788805077,524.0,524.0,0.0,60.0,0.0,-100.0
CAN,CAN,No specific tweak,423835.6917,449265.83320200007,6.00000000000001,205.1236,209.22607200000002,2.0000000000000027,3810508.198,3696192.9520599996,-3.0000000000000075,2763247.952,3094837.70624,12.000000000000005,17133.201,17133.201,0.0,760378.0,760378.0,0.0,2038992.834,1796284.0817259985,-11.90336465272744
CHE,CHE,No specific tweak,3950.8665,4187.91849,5.999999999999998,75.202,76.70604,2.0000000000000044,14184.6799,13759.139502999999,-3.000000000000005,13901.0992,15569.231104000002,12.000000000000012,3038.7899,3038.7899,0.0,1447.0,1447.0,0.0,4701.3626,3220.215062999995,-31.50464371754702
CHL,CHL,No specific tweak,8935.2114,9471.324084,5.999999999999997,6957.3356,7096.482312,1.9999999999999962,179636.3723,174247.281131,-2.9999999999999956,158148.7867,177126.641104,12.000000000000007,3040.9246,3040.9246,0.0,15692.0,15692.0,0.0,343159.3694,328895.34676899994,-4.156675848874574
CHN,CHN,Highly agricultural economies,1179439.607,1250205.9834200002,6.000000000000008,282339.4888,287986.278576,2.000000000000007,2225816.283,2159041.79451,-2.9999999999999956,3611762.792,4045174.3270400004,12.000000000000014,162308.1984,162308.1984,0.0,121962.0,121962.0,0.0,1802165.631,1359115.4182539994,-24.584322613019612
CIV,CIV,Very low-forest countries,166909.3397,165121.10672783785,-1.0713798133623342,24575.1491,23394.427388403477,-4.804535292103361,15544.1805,14071.994329557814,-9.470979640529691,110214.786,115205.70101436808,4.52835340474924,3513.1358,3278.7705398328253,-6.6711130314738964,1717.0,1717.0,0.0,315.4089,0.0,-100.0
CMR,CMR,Highly agricultural economies,60218.9391,60942.54183621854,1.201619867492043,768.024,747.92243731182,-2.6173091841114373,183235.9556,169693.04017874727,-7.390970498615787,213672.2293,228479.7435185017,6.930013444897252,4872.3105,4651.75202922066,-4.526773709913184,2162.0,2162.0,0.0,1747.5415,0.0,-100.0
COD,COD,Highly agricultural economies,55604.8123,56459.58963337874,1.5372362535225048,5037.1101,4921.540783244137,-2.294357567365123,1116196.9,1037127.1876464805,-7.083849843474696,1117745.435,1199169.0205799835,7.284626984853973,5965.832,5714.66125691344,-4.2101544778089615,36403.0,36403.0,0.0,2841.9105,0.0,-100.0
COG,COG,High-forest countries,1311.925,1344.0086116938628,2.445537030993605,0.0,0.0,0.0,218887.2412,209431.89400214114,-4.319734282373902,123122.0514,133272.65318070067,8.244341013880046,725.7816,701.444205464281,-3.353266951892828,2825.0,2825.0,0.0,703.0008,0.0,-100.0
COK,COK,Small Island States,0.0,0.0,0.0,0.0,0.0,0.0,39.0,38.61,-1.0000000000000013,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.39000000000000057,inf
COL,COL,No specific tweak,121938.4364,125606.66977950084,3.0082667022789793,10397.1802,10305.805860501128,-0.8788377015805916,556421.8985,524495.9779253406,-5.737718206405092,430907.2224,468994.78131686366,8.838923308068376,4130.3394,4013.765117793688,-2.8223899035103908,5844.0,5844.0,0.0,9621.9231,0.0,-100.0
COM,COM,Highly agricultural economies,91.3378,92.39236298184606,1.1545745374270686,0.0,0.0,0.0,197.0395,182.39154137622958,-7.434021413863931,880.3025,940.8699984334095,6.880305171621058,196.3202,187.34609720851498,-4.571156096766926,27.0,27.0,0.0,38.0,0.0,-100.0
CPV,CPV,No specific tweak,365.0319,386.93381400000004,6.000000000000009,0.0,0.0,0.0,280.3009,271.89187300000003,-2.999999999999993,698.1241,781.898992,12.000000000000004,16.0,16.0,0.0,37.0,37.0,0.0,1988.543,1891.2752209999996,-4.891409388683083
CRI,CRI,High-forest countries,2068.8455,2130.4995286406734,2.9801175892870426,1016.1608,1006.95514950091,-0.9059245838936105,30921.5911,29740.24525142069,-3.8204562137790914,15238.3581,16580.73262345608,8.809180849058006,1216.2167,1181.5673469816472,-2.8489456704839453,202.0,202.0,0.0,178.8277,0.0,-100.0
CUB,CUB,Highly agricultural economies,21058.5383,21553.154630217297,2.348768576294287,12276.9341,12091.128950640208,-1.5134491058300317,38884.1421,36418.41263441719,-6.341221208485422,31267.8439,33813.701485895195,8.142095099480766,938.9449,906.602398830111,-3.444557946892189,1823.0,1823.0,0.0,356.5968,0.0,-100.0
CUW,CUW,Small Island States,3.0,3.050321874288615,1.677395809620504,0.0,0.0,0.0,1.0,0.9393054660507798,-6.06945339492202,256.1487,260.44532756019737,1.6773958096204862,103.8513,100.56504509946323,-3.1643849432185838,15.0,15.0,0.0,1.0,0.0,-100.0
CYM,CYM,Small Island States,0.0,0.0,0.0,0.0,0.0,0.0,91.0828,90.17197200000001,-0.9999999999999944,18.0,18.900000000000002,5.000000000000012,22.0,22.0,0.0,21.0,21.0,0.0,11.9172,11.928028000000019,0.09086026919091397
CYP,CYP,No specific tweak,241.7218,256.22510800000003,6.000000000000013,23.9857,24.465414000000003,2.0000000000000053,1182.4657,1146.9917289999999,-3.00000000000001,2188.4304,2451.0420480000002,12.000000000000002,659.4546,659.4546,0.0,40.0,40.0,0.0,1078.9418,836.8211009999995,-22.44057084450714
CZE,CZE,Highly agricultural economies,20816.5799,21370.95193972088,2.663127383960312,4.5582,4.50300234515471,-1.2109528946797112,29131.021,27367.559133541392,-6.0535532429797385,22522.8771,24431.52151757597,8.474247801920331,5348.8458,5180.464506816614,-3.147993033999715,304.0,304.0,0.0,531.1181,0.0,-100.0
DEU,DEU,Highly agricultural economies,114138.1629,117161.04277519886,2.648439223476292,1501.5511,1483.155795904527,-1.2250867849567668,117068.6753,109966.1254477338,-6.066994295498113,80276.9863,87067.39840726904,8.458728236125914,37853.1368,36656.277473893715,-3.1618497891733113,3088.0,3088.0,0.0,1495.4875,0.0,-100.0
DJI,DJI,Very low-forest countries,22.1662,23.496172,6.000000000000007,0.0,0.0,0.0,14.0,13.58,-2.9999999999999996,18344.2541,20545.564592,12.000000000000004,14.7995,14.7995,0.0,157.0,157.0,0.0,3058.7802,856.5597360000002,-71.99668887617358
DMA,DMA,Small Island States,0.0,0.0,0.0,53.1854,54.203919537191126,1.9150359632363863,449.1674,444.3053196791005,-1.0824650945058587,139.6472,146.50742039876008,4.912537020978636,20.0,19.983340384948313,-0.08329807525843336,3.0,3.0,0.0,3.0,0.0,-100.0
DNK,DNK,Highly agricultural economies,22774.2613,23090.628960296963,1.389145650563711,8.47,8.263597971070567,-2.436859845683987,6982.6911,6478.585022845953,-7.219366715993594,6687.9307,7164.65669268262,7.128153894935245,2479.7306,2371.8657262033935,-4.349862593807828,788.0,788.0,0.0,180.9163,0.0,-100.0
DOM,DOM,Highly agricultural economies,9125.1066,9641.966767433169,5.664154843223086,5139.4188,5225.598026086031,1.6768282453656085,20913.2868,20221.615391268446,-3.3073300019562484,9473.2305,10576.401903279708,11.645144740009314,1410.8881,1406.417911932649,-0.3168350535631294,605.0,605.0,0.0,1010.0692,0.0,-100.0
DZA,DZA,Very low-forest countries,79219.69,83972.8714,6.000000000000001,12295.1309,12541.033518,2.000000000000001,19151.9991,18577.439127,-2.9999999999999973,222792.3562,249527.43894400002,12.000000000000005,3475.9379,3475.9379,0.0,812.0,812.0,0.0,1989078.886,1957919.2792109996,-1.5665344903269127
ECU,ECU,Highly agricultural economies,15911.7477,16866.452562000002,6.000000000000014,11114.8039,11337.099978,1.9999999999999944,99596.5828,96608.685316,-3.000000000000001,105499.9828,118159.98073600001,12.000000000000014,3918.8767,3918.8767,0.0,2385.0,2385.0,0.0,16099.0061,5249.9047079999655,-67.3898831058896
EGY,EGY,Very low-forest countries,29977.9877,30577.547454000003,2.0000000000000058,15562.393,15873.64086,1.9999999999999967,345.3557,334.995029,-3.000000000000007,779.0495,872.53544,12.000000000000004,5661.335,5661.335,0.0,8463.0,8463.0,0.0,943245.8791,942251.946217,-0.10537367880667173
ERI,ERI,Very low-forest countries,8569.6488,9083.827728000002,6.000000000000013,0.0,0.0,0.0,2030.3511,1969.440567,-2.999999999999999,84084.9036,94175.09203200002,12.00000000000001,56.0529,56.0529,0.0,142.0,142.0,0.0,27969.0435,17425.586672999994,-37.69688022044803
ESH,ESH,Very low-forest countries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18472.0,20688.640000000003,12.000000000000016,0.0,0.0,0.0,1.0,1.0,0.0,72623.0,70406.36,-3.0522561722870156
ESP,ESP,Highly agricultural economies,164951.1829,173550.6610891673,5.213347390409817,21984.572,22257.847351762135,1.2430323945452972,166039.5101,159863.07053758696,-3.7198613502853592,124723.2751,138653.3930496025,11.168819884206613,7257.8906,7204.027971881037,-0.7421251033869631,2759.0,2759.0,0.0,16572.5693,0.0,-100.0
EST,EST,High-forest countries,6541.374,6802.760727107957,3.9958994411259328,5.584,5.587994004988982,0.0715258773098526,27016.4968,26240.649392638275,-2.87175429555221,8150.6042,8956.084382450312,9.88245978685006,432.0868,423.91750379847065,-1.8906609045981813,2074.0,2074.0,0.0,282.8542,0.0,-100.0
ETH,ETH,Highly agricultural economies,289524.7709,304620.0939300132,5.213827812759762,42671.6685,43202.28843097177,1.2434946877499538,140870.6246,135631.0519936237,-3.7194217185122875,576746.3784,641165.0702494683,11.169327500274473,1425.0647,1414.495395923039,-0.7416718747549401,8292.0,8292.0,0.0,74794.4929,0.0,-100.0
FIN,FIN,High-forest countries,22294.8701,23453.696726871975,5.197727646199538,0.0,0.0,0.0,246686.8919,242371.61757833802,-1.7492921040211828,33848.8147,37623.741478793854,11.152316003531585,1297.7664,1287.9441159961211,-0.7568607111325159,25398.0,25398.0,0.0,608.6568,0.0,-100.0
FJI,FJI,High-forest countries,549.2687,574.7949644506407,4.647318234343359,321.4018,323.6463507038169,0.6983628292737977,12525.6956,12242.194802114313,-2.2633537245283732,3339.0809,3692.0468390454694,10.570751341947703,122.8852,121.31704368576348,-1.276114873260993,209.0,209.0,0.0,95.6678,0.0,-100.0
FLK,FLK,Very low-forest countries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9781.5165,9802.0,0.2094102688473743,0.0,0.0,0.0,229.0,229.0,0.0,20.4835,0.0,-100.0
FRO,FRO,Small Island States,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9382886650423651,-6.171133495763492,780.0,792.2251718244299,1.567329721080761,5.0,4.836539510527656,-3.269209789446883,35.0,35.0,0.0,12.0,0.0,-100.0
FSM,FSM,Small Island States,0.0,0.0,0.0,0.0,0.0,0.0,374.0,370.26,-1.0000000000000024,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,26.0,29.74000000000002,14.38461538461546
GAB,GAB,High-forest countries,244.5919,259.26741400000003,6.000000000000008,108.2011,110.365122,2.0000000000000027,237742.7337,235365.306363,-1.0000000000000004,19842.4317,22223.523504000004,12.000000000000016,328.8273,328.8273,0.0,1804.0,1804.0,0.0,493.2144,472.7103969999762,-4.157219051192307
GBR,GBR,Highly agricultural economies,60234.2976,59402.17185268076,-1.3814816150844236,1.8118,1.7193450211508097,-5.102935139043515,29883.3954,26968.34427640418,-9.754752043992369,128163.8446,133547.6215166278,4.200698670854179,14872.8371,13837.143009266078,-6.963661901023061,2425.0,2425.0,0.0,600.8135,0.0,-100.0
GEO,GEO,Highly agricultural economies,3845.3807,4076.1035420000003,6.0000000000000036,2481.4538,2531.082876,2.000000000000007,27031.5506,26220.604081999998,-3.0000000000000027,29555.1983,33101.822096,12.000000000000012,1539.0,1539.0,0.0,247.0,247.0,0.0,4522.4167,1506.3875040000194,-66.69065227890168
GGY,GGY,Small Island States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.692,34.90135823842652,0.6034769930431154,5.0,4.790641761573482,-4.1871647685303515,1.7965,1.7965,0.0,0.0,0.0,0.0
GHA,GHA,Highly agricultural economies,96379.1705,96000.87211321286,-0.3925105236168609,13505.0082,12944.376994369502,-4.151283711404913,35360.5429,32231.223185351097,-8.849750196139958,82813.5766,87157.68636649517,5.245649258065213,3677.627,3455.8414405713443,-6.030670305298925,7552.0,7552.0,0.0,54.0749,0.0,-100.0
GIN,GIN,Highly agricultural economies,34887.5323,34245.6637122619,-1.8398222672175053,4823.0601,4555.670616646505,-5.543979917511189,46784.4193,42024.48968117574,-10.174176980378292,157100.9516,162939.47368651596,3.7164142082230165,934.8438,865.7022033999034,-7.396058742658035,463.0,463.0,0.0,100.1928,0.0,-100.0
GMB,GMB,Highly agricultural economies,5533.6071,5568.56736719573,0.6317807998281991,0.0,0.0,0.0,2079.9139,1915.3422309178895,-7.91242700393081,2272.3923,2416.18745173392,6.327919335667534,201.0867,190.9029501524605,-5.064357736011135,128.0,128.0,0.0,4.0,0.0,-100.0
GNB,GNB,High-forest countries,3420.9139,3524.2760853336604,3.0214787146107467,886.3118,878.6352385186084,-0.8661242557519329,19438.3695,18703.244094283764,-3.7818264835239237,7386.3207,8040.223042143957,8.852883170154756,88.097,85.62153972001002,-2.8099257409332603,392.0,392.0,0.0,11.9871,0.0,-100.0
GNQ,GNQ,High-forest countries,13.7493,14.574258,6.0000000000000036,155.8633,158.980566,2.0000000000000004,22448.6668,22224.180131999998,-1.000000000000006,2751.4947,3081.6740640000007,12.00000000000002,537.0153,537.0153,0.0,78.0,78.0,0.0,568.2106,458.57567999999696,-19.29476852420617
GRC,GRC,Highly agricultural economies,23338.8449,23986.17176905202,2.773602857491974,786.7854,778.0942041353437,-1.1046463069416725,39986.4283,37606.25304471664,-5.952457762483769,55521.4687,60291.30508629328,8.590976604142465,2294.0,2224.1758958027035,-3.043770889158522,2004.0,2004.0,0.0,2958.4727,0.0,-100.0
GRD,GRD,Small Island States,0.0,0.0,0.0,33.003,33.60932891199591,1.8371933218068341,186.1445,183.98891272517804,-1.1580182464816067,32.8525,34.440065816518555,4.832404890095291,24.0,23.96169254630749,-0.1596143903854615,1.0,1.0,0.0,0.0,0.0,0.0
GRL,GRL,Very low-forest countries,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.58,-2.9999999999999996,56436.5083,63208.88929600001,12.000000000000012,13.0,13.0,0.0,25030.0,25030.0,0.0,2013378.492,2006606.5310040002,-0.33634813438743455
GTM,GTM,Highly agricultural economies,8112.1204,8298.540300311539,2.2980415861620975,28367.2242,27924.053872768825,-1.5622618699194937,26504.722,24811.695460227314,-6.387641190021487,40354.877,43618.97992279728,8.088496770284502,3022.2811,2916.7305438950166,-3.4924135979602813,1132.0,1132.0,0.0,1208.7754,0.0,-100.0
GUM,GUM,Small Island States,2.0,2.1,5.000000000000004,0.0,0.0,0.0,263.9243,261.285057,-1.0000000000000082,83.4812,87.65526,4.9999999999999964,91.5945,91.5945,0.0,9.0,9.0,0.0,3.0,1.3651829999999787,-54.49390000000071
GUY,GUY,High-forest countries,1623.3596,1720.761176,5.999999999999998,0.0,0.0,0.0,196471.7598,194507.042202,-0.9999999999999941,11780.2078,13193.832736000002,12.000000000000016,72.0,72.0,0.0,458.0,458.0,0.0,1578.6728,2032.36388599998,28.73876625985955
HKG,HKG,Small Island States,2.7108,2.84634,5.000000000000008,0.0,0.0,0.0,3.0,2.91,-2.9999999999999956,316.4582,332.28111,5.0000000000000115,487.831,487.831,0.0,53.0,53.0,0.0,29.0,13.13154999999999,-54.71879310344831
HMD,HMD,Small Island States,0.1064,0.11172,5.000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,82.6498,86.78229,5.000000000000005,0.0,0.0,0.0,29.0,29.0,0.0,232.2438,228.10599,-1.7816665073513274
HND,HND,High-forest countries,3063.5514,3129.5137747187146,2.1531342584529423,11393.7423,11199.854873732798,-1.701700996583024,56114.3057,53537.07247124576,-4.59282743786,39006.4411,42101.75321121382,7.9353871410068875,1403.7494,1352.8056690888936,-3.629118624101017,962.0,962.0,0.0,339.2101,0.0,-100.0
HRV,HRV,Highly agricultural economies,9397.214,9600.129205506963,2.1593123824461444,6.4967,6.38653181934093,-1.6957560093442787,19733.3209,18447.775654161964,-6.5145914990823215,22255.1525,24022.637788023156,7.941914970131774,1516.0,1461.0709204885693,-3.623290205239492,345.0,345.0,0.0,629.816,0.0,-100.0
HTI,HTI,Highly agricultural economies,8344.0682,8844.712292,6.000000000000005,2086.2737,2127.999174,1.9999999999999927,1933.3686,1875.367542,-3.000000000000003,10397.8409,11645.581808,12.000000000000016,751.8567,751.8567,0.0,288.0,288.0,0.0,2299.592,567.4825839999921,-75.32246659407443
HUN,HUN,Highly agricultural economies,38337.279,39327.082237229944,2.581829652620735,137.5198,135.74691840954455,-1.2891827871008066,25202.5405,23658.141838610816,-6.12794833675273,20665.3239,22398.80324857694,8.388348312203036,6750.9221,6533.22585717276,-3.224689006961582,1106.0,1106.0,0.0,959.4148,0.0,-100.0
IDN,IDN,Highly agricultural economies,157225.2473,166658.762138,6.000000000000003,674864.6985,688361.99247,1.9999999999999998,597012.0643,579101.702371,-3.0000000000000013,303848.6443,340310.481616,12.000000000000007,34994.7579,34994.7579,0.0,12924.0,12924.0,0.0,63176.5877,21694.3035050002,-65.66084954126099
